,t,phi,omega,alpha,r,r-dot,r-dotdot
100,0.555555555555555,0.928962768130953,1.91668355274075,1.86452465625309,0.3413260287134,-0.267475951802147,-0.415101833455883
101,0.56111111111111,0.93962571070589,1.92708947431409,1.9073918151651,0.339832044912766,-0.26975532751905,-0.404208937862326
102,0.566666666666666,0.950348513729388,1.93774992580993,1.95206644542462,0.338326577345672,-0.271974279761929,-0.393092064937468
103,0.572222222222221,0.961130633649287,1.94868527782101,1.99840442224883,0.336809165395309,-0.274129978347756,-0.381690063285742
104,0.577777777777777,0.971973243286012,1.95990061532793,2.04643978779519,0.335280100970317,-0.276220454471037,-0.370042821746109
105,0.583333333333332,0.982880247859794,1.97140477734226,2.09610866213698,0.333739773448065,-0.278242962481642,-0.35814842338894
106,0.588888888888888,0.993852990570669,1.98320542763656,2.14736533326418,0.332188505209639,-0.280194797858387,-0.346001277355863
107,0.594444444444443,1.00489188148657,1.99530741873372,2.20018509660914,0.330626349382912,-0.282075418598486,-0.333594961737711
108,0.599999999999999,1.01599867454463,2.00771959058834,2.25452912140908,0.329053878463313,-0.283885735301892,-0.320929268530201
109,0.605555555555554,1.02717570989746,2.02045233057607,2.3103404914911,0.327471802987385,-0.285623414957063,-0.308001079146322
110,0.61111111111111,1.03842433958705,2.03352338776833,2.36754664991949,0.325880075287071,-0.287285274042778,-0.294799433924312
111,0.616666666666665,1.04974805155459,2.04694137816266,2.42607101538602,0.324279044659552,-0.288870836267455,-0.28131781374818
112,0.622222222222221,1.06114880581639,2.0607052209582,2.48584264441252,0.322669138269395,-0.29037847997695,-0.267554980466926
113,0.627777777777777,1.07262970199673,2.07481354789397,2.54680270385472,0.321050654877884,-0.291807231882876,-0.25351181815297
114,0.633333333333332,1.08419164519845,2.08927089360035,2.60890522729325,0.319424558653922,-0.293157182412569,-0.239191188096966
115,0.638888888888888,1.09583795875962,2.10408572545455,2.67208868426974,0.317791235886084,-0.294425950383608,-0.224594166014657
116,0.644444444444443,1.10757162067518,2.11926259109953,2.73629036437182,0.316151356617982,-0.295611446476504,-0.209720478790973
117,0.649999999999999,1.11939351637998,2.13481120596155,2.80149323279494,0.314505634426303,-0.296713829408088,-0.194564116691935
118,0.655555555555554,1.13130237640655,2.15073342546405,2.86768356437228,0.312854205848076,-0.297731615439384,-0.179114374204402
119,0.66111111111111,1.14330317413573,2.16702710789001,2.93480575523764,0.311197750369079,-0.298661854810126,-0.163360192229193
120,0.666666666666665,1.15539638482465,2.18369634449985,3.0028029636786,0.309536232559301,-0.299502575893565,-0.147287890879547
121,0.672222222222221,1.16758491558843,2.20074689490574,3.07162540970295,0.307870248690956,-0.300252555568661,-0.130890457425891
122,0.677777777777776,1.17987140468909,2.21817770637227,3.14124781551532,0.3062007606351,-0.300911082961083,-0.114163887467568
123,0.683333333333332,1.19225460406239,2.23598771727476,3.21165299810665,0.304527944605119,-0.30147687329221,-0.0970954437624471
124,0.688888888888887,1.20473962280341,2.25417479424668,3.28278229950328,0.302852100223966,-0.301948282079405,-0.0796726341108195
125,0.694444444444443,1.21732674871075,2.27273423981841,3.35458572962205,0.301173965592069,-0.302323289909376,-0.061889594579738
126,0.699999999999999,1.23001796330495,2.29167135812391,3.4270432386845,0.299494606430109,-0.302600560021524,-0.0437412918742955
127,0.705555555555554,1.24281341254266,2.3109915595986,3.50012510381166,0.297814456528308,-0.302778223598481,-0.0252145510472476
128,0.71111111111111,1.25571631798582,2.33069242275179,3.57377585207137,0.296133564528396,-0.302852793781873,-0.00629494017767696
129,0.716666666666665,1.26872866626688,2.35077157803352,3.64793384018959,0.294453050978525,-0.302822284035991,0.0130231963279969
130,0.722222222222221,1.281852432725,2.3712290349506,3.72251665686473,0.292773503774628,-0.302685782993747,0.0327490244436402
131,0.727777777777776,1.29509182065039,2.3920670620902,3.79742167296908,0.291094923804747,-0.302441515603281,0.052894093422795
132,0.733333333333332,1.3084475972166,2.41329176943621,3.87256487069111,0.289418618893032,-0.302088148430117,0.0734665082267301
133,0.738888888888887,1.32192205869539,2.43491052381715,3.94785335960768,0.287744574479245,-0.301623861142224,0.0944780573210628
134,0.744444444444443,1.33551860994575,2.45692467079057,4.02317933076377,0.286073517380444,-0.301044708224483,0.115940917518514
135,0.749999999999998,1.34923821121064,2.47932668806027,4.09844092232179,0.284405893942878,-0.300347535721269,0.137864348351719
136,0.755555555555554,1.36308367061039,2.50211875017477,4.17350661773437,0.282742650721706,-0.299531029153292,0.160255086355665
137,0.761111111111109,1.37705855238598,2.52530177365968,4.24823841769896,0.281084244948135,-0.298592130201618,0.183124616550913
138,0.766666666666665,1.39116071167001,2.54887459647005,4.32251194253276,0.279430854938877,-0.297526278270379,0.206485907914185
139,0.77222222222222,1.40539452047631,2.57283721365264,4.39616107967173,0.277783390046443,-0.296330064313399,0.230342488148192
140,0.777777777777776,1.41976082700263,2.59719021832766,4.46900961958851,0.276142285110153,-0.295001012374957,0.254694238303551
141,0.783333333333332,1.43426055457096,2.62193416337139,4.54089576215614,0.27450853085829,-0.293535567370692,0.279540522021756
142,0.788888888888887,1.44889468969534,2.64706112108573,4.61160086489021,0.272882730518665,-0.291931074631775,0.304875134444097
143,0.794444444444443,1.46366930813615,2.67256267910262,4.68084799551001,0.271266012129874,-0.290186932370106,0.330683510225846
144,0.799999999999998,1.47858503127237,2.69842913493486,4.74837125573578,0.269659496775,-0.288300721619256,0.356948754871755
